relative_minutes,T1,T2,T3,T4,PC1,PC2,PC3,total_cpu_rate
240,0.04718003,0.998886402,0.149042266,0.988830826,1.534032692,0.609932561,0.46906546,2175.322856
241,0.051538031,0.998671033,0.149658607,0.988737731,1.523215927,0.603366427,0.465613466,2164.080863
242,0.055895051,0.99843665,0.15027489,0.988644252,1.34418099,0.52225401,0.479734825,2128.674497
243,0.060251007,0.998183258,0.150891114,0.988550389,1.397465919,0.544516636,0.466373302,2131.090698
244,0.064605816,0.997910862,0.151507279,0.988456142,1.355616869,0.528309085,0.482408575,2128.338353
245,0.068959395,0.997619467,0.152123386,0.98836151,1.311280413,0.510309702,0.490475527,2065.808037
246,0.073311661,0.99730908,0.152739434,0.988266495,1.214928347,0.470140631,0.491312913,2060.612448
247,0.077662531,0.996979705,0.153355422,0.988171096,1.185263549,0.456817166,0.48335189,2057.324729
248,0.082011922,0.996631348,0.153971351,0.988075312,1.206591697,0.470156102,0.655547322,2053.290053
249,0.086359752,0.996264018,0.15458722,0.987979145,1.126984513,0.432648974,0.511801507,2053.338519
250,0.090705938,0.99587772,0.155203029,0.987882594,1.122102271,0.43373755,0.519504919,2117.81039
251,0.095050397,0.995472462,0.155818777,0.987785659,1.111034912,0.428064204,0.513272602,2121.59291
252,0.099393047,0.995048251,0.156434465,0.987688341,1.108045895,0.426864843,0.511532158,2123.226757
253,0.103733804,0.994605096,0.157050092,0.987590638,1.097589387,0.422392276,0.50601908,2117.0711
254,0.108072586,0.994143006,0.157665658,0.987492552,1.099030734,0.42320504,0.513236796,2118.51052
255,0.112409311,0.993661988,0.158281163,0.987394082,1.151940745,0.440075823,0.440219034,2091.608175
256,0.116743895,0.993162053,0.158896607,0.987295229,1.392514381,0.533432377,0.333933052,2097.523944
257,0.121076257,0.992643209,0.159511988,0.987195991,1.353182534,0.514710708,0.275451605,2103.243685
258,0.125406314,0.992105466,0.160127308,0.987096371,1.343068416,0.508027665,0.211039442,2104.511873
259,0.129733983,0.991548836,0.160742566,0.986996367,1.275466767,0.475735104,0.127561531,2099.658849
260,0.134059182,0.990973327,0.161357761,0.986895979,1.085835561,0.382753177,-0.177677691,1993.770211
261,0.138381829,0.990378952,0.161972893,0.986795208,1.150247289,0.408386052,-0.201982379,1997.929525
262,0.142701842,0.989765722,0.162587962,0.986694053,1.144336761,0.405838285,-0.212148449,1996.878844
263,0.147019137,0.989133648,0.163202969,0.986592515,1.103311785,0.391646155,-0.087736447,1990.227801
264,0.151333634,0.988482742,0.163817911,0.986490594,1.104674581,0.399580514,0.13632794,1996.0478
265,0.155645249,0.987813017,0.164432791,0.986388289,1.166345097,0.444091874,0.237909685,2144.705426
266,0.159953901,0.987124485,0.165047606,0.986285602,1.216371969,0.467515945,0.344815183,2153.386728
267,0.164259508,0.98641716,0.165662357,0.986182531,1.361366975,0.539607034,0.610982699,2197.958653
268,0.168561987,0.985691055,0.166277044,0.986079076,1.290968615,0.51131718,0.600914078,2209.92206
269,0.172861258,0.984946184,0.166891666,0.985975239,1.267805923,0.503033907,0.62515348,2214.340137
270,0.177157237,0.984182561,0.167506223,0.985871019,1.288619709,0.516418451,0.601575946,2063.000487
271,0.181449844,0.9834002,0.168120716,0.985766415,1.52503899,0.611796494,0.552714698,2066.511738
272,0.185738996,0.982599117,0.168735142,0.985661429,1.577570026,0.63541068,0.541126054,2074.56457
273,0.190024611,0.981779327,0.169349504,0.985556059,1.571490972,0.636604238,0.543506409,2086.964351
274,0.194306609,0.980940845,0.169963799,0.985450307,1.573192744,0.639230976,0.545593643,2097.65252
275,0.198584908,0.980083687,0.170578029,0.985344171,1.595202367,0.649930504,0.559883618,2172.363782
276,0.202859426,0.97920787,0.171192192,0.985237653,1.631031895,0.663485733,0.547138091,2166.833475
277,0.207130081,0.978313411,0.171806289,0.985130752,1.598772303,0.645341807,0.527720065,2133.125171
278,0.211396794,0.977400325,0.172420319,0.985023469,1.567370199,0.630566355,0.517113309,2121.887021
279,0.215659481,0.976468631,0.173034282,0.984915802,1.551795018,0.623564379,0.516034538,2117.888306
280,0.219918063,0.975518347,0.173648178,0.984807753,1.52084773,0.613967081,0.525915984,2112.2867
281,0.224172458,0.97454949,0.174262006,0.984699321,1.380343044,0.554454164,0.551670756,2107.877688
282,0.228422585,0.97356208,0.174875767,0.984590507,1.227404645,0.491918393,0.584775908,2105.487975
283,0.232668363,0.972556134,0.175489459,0.98448131,1.205503317,0.482878623,0.585479072,2104.893825
284,0.236909711,0.971531672,0.176103084,0.984371731,1.193857704,0.477461121,0.586565678,2104.080161
